"species","device_id","deployment_site","track_start","track_end","n_loc"
"Megaptera novaeangliae","112692",NA,"2012-01-03 17:34:38","2012-03-08 01:36:27",334
"Megaptera novaeangliae","112704",NA,"2012-01-03 19:56:25","2012-01-06 03:50:58",30
"Megaptera novaeangliae","112705",NA,"2012-01-19 10:24:53","2012-03-10 15:52:06",773
"Megaptera novaeangliae","112699",NA,"2012-01-27 01:16:39","2012-08-09 14:10:07",2902
"Megaptera novaeangliae","112703",NA,"2012-01-30 11:28:45","2012-03-08 14:11:59",409
"Megaptera novaeangliae","112701",NA,"2012-01-31 12:50:05","2012-04-21 02:40:26",970
"Megaptera novaeangliae","123236",NA,"2013-02-05 17:16:29","2013-03-28 13:05:37",1293
"Megaptera novaeangliae","121210",NA,"2013-02-05 18:58:11","2013-08-20 11:10:09",3752
"Megaptera novaeangliae","121208",NA,"2013-02-05 23:25:09","2013-02-27 07:32:47",149
"Megaptera novaeangliae","123231",NA,"2013-02-05 23:26:14","2013-02-14 07:05:17",107
"Megaptera novaeangliae","123224",NA,"2013-02-05 23:30:08","2013-06-27 11:01:39",2257
"Megaptera novaeangliae","121212",NA,"2013-02-06 17:01:49","2013-02-11 07:45:18",137
"Megaptera novaeangliae","123232",NA,"2013-02-06 17:03:01","2013-10-30 07:49:49",3732
"Megaptera novaeangliae","112738",NA,"2013-02-06 18:44:21","2013-04-11 13:16:14",1566
"Megaptera novaeangliae","112737",NA,"2013-02-06 18:48:12","2013-04-16 11:31:59",1814
"Megaptera novaeangliae","121211",NA,"2013-02-06 23:55:07","2013-03-16 12:46:15",977
"Megaptera novaeangliae","112746",NA,"2013-02-07 18:31:31","2013-04-09 17:42:49",1825
"Megaptera novaeangliae","121207",NA,"2013-02-12 17:42:06","2013-06-23 00:40:21",2632
"Megaptera novaeangliae","131141",NA,"2015-01-07 21:08:01","2015-01-31 19:20:03",759
"Megaptera novaeangliae","131153",NA,"2015-01-08 13:34:21","2015-02-12 06:31:16",1246
"Megaptera novaeangliae","131151",NA,"2015-01-08 15:15:51","2015-03-13 01:18:58",2397
"Megaptera novaeangliae","131143",NA,"2015-01-08 19:43:34","2015-03-24 18:05:05",1982
"Megaptera novaeangliae","131144",NA,"2015-01-09 00:43:28","2015-04-08 10:48:49",2319
"Megaptera novaeangliae","131146",NA,"2015-01-30 12:34:38","2015-03-15 09:06:54",1610
"Megaptera novaeangliae","131147",NA,"2015-01-31 00:41:32","2015-03-11 16:34:41",1623
"Megaptera novaeangliae","131142",NA,"2016-01-13 00:00:03","2016-02-18 19:41:50",1456
"Megaptera novaeangliae","131159",NA,"2016-01-13 00:02:17","2016-02-05 13:15:19",721
"Megaptera novaeangliae","131158",NA,"2016-01-13 07:56:58","2016-01-26 08:33:33",434
"Megaptera novaeangliae","131162",NA,"2016-01-13 09:14:59","2016-03-15 05:36:10",2200
"Megaptera novaeangliae","131156",NA,"2016-01-14 09:10:56","2016-03-01 19:10:35",1946
"Megaptera novaeangliae","131115",NA,"2016-02-26 13:20:59","2016-03-01 13:29:18",163
