"species","device_id","deployment_site","track_start","track_end","n_loc"
"Megaptera novaeangliae","131116",NA,"2016-02-26 21:28:57","2016-03-08 07:17:18",420
"Megaptera novaeangliae","154187",NA,"2016-03-21 20:05:15","2016-04-04 08:36:10",441
"Megaptera novaeangliae","131111",NA,"2016-03-23 01:01:25","2016-03-27 23:02:57",153
"Megaptera novaeangliae","131130",NA,"2016-04-25 17:53:39","2016-07-23 20:43:05",682
"Megaptera novaeangliae","131132",NA,"2016-04-25 20:03:21","2016-06-14 23:05:35",1107
"Megaptera novaeangliae","131134",NA,"2016-04-26 00:08:09","2016-05-13 03:12:36",566
"Megaptera novaeangliae","131133",NA,"2016-04-26 12:39:59","2016-07-31 11:28:21",2019
"Megaptera novaeangliae","131136",NA,"2016-04-26 13:25:00","2016-07-27 00:33:05",1858
"Megaptera novaeangliae","131128",NA,"2016-04-26 13:25:35","2016-04-28 07:22:58",47
"Megaptera novaeangliae","131127",NA,"2016-04-26 14:05:32","2016-08-05 21:28:58",2395
"Megaptera novaeangliae","166128",NA,"2017-05-03 18:46:47","2017-05-14 10:52:33",207
"Megaptera novaeangliae","166127",NA,"2017-05-03 20:24:56","2017-05-14 12:16:39",277
"Megaptera novaeangliae","166125",NA,"2017-05-04 14:50:58","2017-05-14 12:32:07",252
"Megaptera novaeangliae","166123",NA,"2017-05-04 19:44:02","2017-05-14 12:37:10",316
"Megaptera novaeangliae","166126",NA,"2017-05-04 19:44:26","2017-05-14 12:32:32",301
"Megaptera novaeangliae","166124",NA,"2017-05-04 19:52:38","2017-05-14 12:36:09",341
"Megaptera novaeangliae","166122",NA,"2017-05-05 02:38:59","2017-05-14 12:32:09",201
"Megaptera novaeangliae","173525",NA,"2018-02-26 13:39:05","2018-03-07 03:58:24",184
"Megaptera novaeangliae","173528",NA,"2018-02-26 15:05:29","2018-03-10 01:19:53",269
"Megaptera novaeangliae","173531",NA,"2018-02-26 15:19:37","2018-03-09 14:50:37",349
"Megaptera novaeangliae","173530",NA,"2018-02-28 12:13:11","2018-03-09 05:52:23",198
"Megaptera novaeangliae","173524",NA,"2018-02-28 12:16:39","2018-03-08 06:21:04",200
"Megaptera novaeangliae","173523",NA,"2018-02-28 13:19:35","2018-03-10 08:52:40",259
"Megaptera novaeangliae","170328",NA,"2018-02-28 22:17:15","2018-03-10 05:29:09",152
"Megaptera novaeangliae","173519",NA,"2018-03-06 20:50:19","2018-03-10 07:14:33",110
"Megaptera novaeangliae","173526",NA,"2018-03-06 20:51:14","2018-03-10 06:52:38",100
"Megaptera novaeangliae","173522",NA,"2018-03-06 22:27:45","2018-03-10 14:32:16",120
