"id","area","date_start","date_end"
112731,"48.1","2013-02-09 18:24:46","2013-02-20 07:42:31"
112732,"48.1","2013-02-26 13:22:49","2013-03-03 23:16:01"
112736,"48.1","2013-02-09 12:32:19","2013-03-11 12:12:42"
112745,"48.1","2013-02-09 12:35:29","2013-03-14 05:12:55"
112747,"48.1","2013-02-09 12:32:16","2013-02-24 12:23:22"
112750,"48.1","2013-02-09 18:10:35","2013-06-08 05:51:39"
131107,"48.1","2014-02-12 20:32:42","2014-03-10 13:33:44"
131117,"48.1","2016-02-28 19:29:15","2016-03-15 04:14:08"
131118,"48.1","2016-03-02 02:28:41","2016-03-17 06:20:44"
112733,"48.1","2013-02-08 19:59:22","2013-02-10 05:47:26"
112734,"48.1","2013-02-09 05:57:08","2013-02-22 07:48:14"
112748,"48.1","2013-02-09 19:49:44","2013-02-25 18:43:52"
166115,"48.1","2017-03-02 09:54:37","2017-03-15 12:41:42"
166116,"48.1","2017-03-01 14:57:11","2017-03-13 11:18:11"
166118,"48.1","2017-03-01 21:31:41","2017-03-11 08:06:49"
131101,"48.1","2013-12-15 12:42:39","2013-12-20 21:44:15"
131108,"48.1","2015-02-23 18:13:00","2015-03-13 11:25:23"
131120,"48.1","2016-02-28 22:36:08","2016-03-13 08:00:30"
154184,"48.1","2016-02-29 08:23:50","2016-03-01 00:08:25"
112745,"48.2","2013-03-16 23:18:19","2013-05-25 13:00:51"
112745,"48.3","2013-05-25 19:12:20","2013-05-29 06:12:32"
