"area","n_tracks","n_locations","date_start","date_end"
"48.1",79,53124,"2004-01-17 12:40:27","2018-03-10 14:32:16"
"48.2",4,469,"2007-03-10 00:06:23","2018-03-11 23:50:26"
"48.3",12,3010,"2004-01-01 12:02:00","2019-01-24 05:23:36"
"48.4",17,6265,"2004-02-08 07:57:00","2018-12-22 11:19:43"
