"id","area","date_start","date_end"
"20689","48.1","2004-01-17 12:40:27","2004-03-11 22:24:35"
"63376","48.1","2006-01-26 19:11:12","2006-02-27 02:36:42"
"63378","48.1","2006-01-28 01:27:41","2006-04-16 08:01:04"
"112692","48.1","2012-01-03 19:14:21","2012-03-08 01:36:27"
"112699","48.1","2012-01-31 00:05:50","2012-06-19 15:22:00"
"112703","48.1","2012-01-30 11:28:45","2012-03-08 14:11:59"
"112705","48.1","2012-01-19 10:24:53","2012-03-10 15:52:06"
"112737","48.1","2013-02-06 18:48:12","2013-04-16 11:31:59"
"112738","48.1","2013-02-06 18:44:21","2013-04-04 08:00:10"
"112746","48.1","2013-02-07 18:53:48","2013-04-09 17:42:49"
"121207","48.1","2013-02-12 17:42:06","2013-05-09 17:16:54"
"121208","48.1","2013-02-05 23:25:09","2013-02-27 07:32:47"
"121210","48.1","2013-02-05 18:58:11","2013-05-07 13:59:10"
"123224","48.1","2013-02-05 23:30:08","2013-05-26 07:05:21"
"123232","48.1","2013-02-06 17:03:01","2013-10-30 07:49:49"
"123236","48.1","2013-02-05 17:16:29","2013-03-28 13:05:37"
"131143","48.1","2015-01-08 19:43:34","2015-03-16 10:07:58"
"131144","48.1","2015-01-09 00:43:28","2015-04-08 10:48:49"
"131146","48.1","2015-01-30 12:34:38","2015-03-15 09:06:54"
"131147","48.1","2015-01-31 00:41:32","2015-02-21 20:55:02"
"131151","48.1","2015-01-08 15:15:51","2015-03-13 01:18:58"
"131153","48.1","2015-01-08 14:04:08","2015-02-02 02:35:36"
"131127","48.1","2016-04-26 14:05:32","2016-07-15 17:11:54"
"131130","48.1","2016-04-25 17:53:39","2016-05-01 12:31:27"
"131132","48.1","2016-04-25 20:23:59","2016-05-12 06:29:57"
"131133","48.1","2016-04-26 12:39:59","2016-07-07 15:17:32"
"131136","48.1","2016-04-26 13:25:00","2016-07-01 13:59:21"
"131156","48.1","2016-01-14 09:10:56","2016-03-01 19:10:35"
"131158","48.1","2016-01-13 07:56:58","2016-01-26 08:33:33"
"131162","48.1","2016-01-13 09:14:59","2016-03-09 14:14:38"
"2007ANT-00828","48.1","2007-02-19 13:07:00","2007-04-29 11:27:50"
"2007ANT-23035","48.1","2007-02-24 20:24:00","2007-06-27 21:38:15"
"2007ANT-23037","48.1","2007-02-19 22:04:00","2007-05-06 00:27:49"
"2007ANT-23038","48.1","2007-02-19 20:50:00","2007-06-18 08:52:21"
"2007ANT-23040","48.1","2007-02-22 14:47:00","2007-05-27 00:26:49"
"2007ANT-23041","48.1","2007-02-21 19:40:00","2007-04-30 00:06:36"
"24639","48.1","2005-01-23 19:32:00","2005-02-04 12:07:17"
"24640","48.1","2005-01-24 18:17:00","2005-02-12 08:30:58"
"26715","48.1","2005-01-23 08:28:00","2005-01-23 12:21:00"
"63375","48.1","2006-01-26 01:25:20","2006-03-03 07:07:11"
"63377","48.1","2006-01-28 01:30:55","2006-02-27 04:43:59"
"112701","48.1","2012-01-31 12:50:05","2012-04-21 02:40:26"
"112704","48.1","2012-01-03 19:56:25","2012-01-06 03:50:58"
"121211","48.1","2013-02-06 23:55:07","2013-03-16 12:46:15"
"121212","48.1","2013-02-06 17:01:49","2013-02-11 07:45:18"
"123231","48.1","2013-02-05 23:26:14","2013-02-14 07:05:17"
"131141","48.1","2015-01-07 21:08:01","2015-01-31 19:20:03"
"131111","48.1","2016-03-23 01:01:25","2016-03-27 23:02:57"
"131115","48.1","2016-02-26 13:20:59","2016-03-01 13:29:18"
"131116","48.1","2016-02-26 21:28:57","2016-03-08 07:17:18"
"131128","48.1","2016-04-26 13:25:35","2016-04-28 07:22:58"
"131134","48.1","2016-04-26 00:08:09","2016-05-13 03:12:36"
"131142","48.1","2016-01-13 00:00:03","2016-02-18 19:41:50"
"131159","48.1","2016-01-13 00:02:17","2016-02-05 13:15:19"
"154187","48.1","2016-03-21 20:05:15","2016-04-04 08:36:10"
"166122","48.1","2017-05-05 02:38:59","2017-05-14 12:32:09"
"166123","48.1","2017-05-04 19:44:02","2017-05-14 12:37:10"
"166124","48.1","2017-05-04 19:52:38","2017-05-14 12:36:09"
"166125","48.1","2017-05-04 16:36:48","2017-05-14 12:32:07"
"166126","48.1","2017-05-04 19:44:26","2017-05-14 12:32:32"
"166127","48.1","2017-05-03 20:24:56","2017-05-14 12:16:39"
"166128","48.1","2017-05-03 18:46:47","2017-05-14 10:52:33"
"170328","48.1","2018-03-01 00:19:25","2018-03-10 05:29:09"
"173519","48.1","2018-03-06 20:50:19","2018-03-10 07:14:33"
"173522","48.1","2018-03-06 22:27:45","2018-03-10 14:32:16"
"173523","48.1","2018-02-28 13:19:35","2018-03-10 08:52:40"
"173524","48.1","2018-02-28 12:16:39","2018-03-08 06:21:04"
