"id","area","date_start","date_end"
"173525","48.1","2018-02-26 13:39:05","2018-03-07 03:58:24"
"173526","48.1","2018-03-06 20:51:14","2018-03-10 06:52:38"
"173528","48.1","2018-02-26 15:05:29","2018-03-10 01:19:53"
"173530","48.1","2018-02-28 12:13:11","2018-03-09 05:52:23"
"2007ANT-23029","48.1","2007-02-22 15:32:00","2007-03-29 11:01:31"
"2007ANT-23030","48.1","2007-02-18 14:21:00","2007-03-31 21:39:30"
"2007ANT-23031","48.1","2007-02-24 21:30:39","2007-05-18 08:14:50"
"2007ANT-23032","48.1","2007-02-25 14:08:00","2007-03-14 08:01:40"
"2007ANT-23033","48.1","2007-02-25 16:20:00","2007-04-01 21:16:47"
"2007ANT-23042","48.1","2007-02-19 22:25:00","2007-02-22 08:05:06"
"21809","48.1","2005-01-20 01:24:00","2005-01-31 13:35:00"
"173531","48.1","2018-02-26 15:19:37","2018-03-09 14:50:37"
"2007ANT-23037","48.2","2007-03-10 00:06:23","2007-03-28 11:24:47"
"132194","48.2","2017-02-09 00:29:11","2017-02-10 06:53:31"
"Braz-2012-121189","48.2","2013-03-13 17:34:00","2013-04-11 05:01:00"
"Braz-2017-172002","48.2","2018-02-16 00:33:56","2018-03-11 23:50:26"
"132194","48.3","2017-02-11 00:12:42","2017-03-14 02:28:27"
"Braz-2003-21810","48.3","2004-01-01 12:02:00","2004-01-03 07:16:00"
"Braz-2003-24642","48.3","2004-02-02 06:54:00","2004-02-06 11:44:00"
"Braz-2008-87769","48.3","2008-11-02 10:50:00","2008-11-02 10:50:00"
"Braz-2012-121189","48.3","2012-12-14 03:13:00","2013-03-02 06:29:00"
"Braz-2017-84484","48.3","2018-01-07 05:20:44","2018-01-14 19:31:35"
"Braz-2017-111870","48.3","2017-12-01 05:41:50","2018-01-15 08:20:17"
"Braz-2017-120937","48.3","2017-11-27 11:35:50","2017-11-28 06:09:50"
"Braz-2017-172002","48.3","2017-12-21 01:11:03","2018-02-14 05:25:54"
"Braz-2018-120942","48.3","2018-12-13 07:36:28","2018-12-17 07:40:17"
"Braz-2018-121191","48.3","2019-01-09 10:38:42","2019-01-15 08:39:08"
"Braz-2018-84485","48.3","2019-01-04 00:57:21","2019-01-24 05:23:36"
"132194","48.4","2017-02-01 00:50:10","2017-03-26 04:12:05"
"Braz-2003-24642","48.4","2004-02-08 07:57:00","2004-05-18 11:29:00"
"Braz-2005-10946","48.4","2005-12-02 00:51:00","2006-01-03 05:24:00"
"Braz-2005-24641","48.4","2005-12-26 11:27:00","2006-02-08 11:19:00"
"Braz-2008-87769","48.4","2008-10-29 20:29:00","2008-10-31 23:19:00"
"Braz-2009-87771","48.4","2009-10-19 17:50:00","2009-11-05 07:11:00"
"Braz-2009-87783","48.4","2010-01-01 18:45:00","2010-02-03 02:30:00"
"Braz-2012-111871","48.4","2013-01-02 06:31:00","2013-01-12 08:47:00"
"Braz-2012-121189","48.4","2013-04-11 03:14:00","2013-07-27 16:30:00"
"Braz-2017-111870","48.4","2018-01-15 08:42:58","2018-02-07 05:02:14"
"Braz-2017-120937","48.4","2017-11-24 06:14:48","2018-01-19 01:03:58"
"Braz-2017-121203","48.4","2017-11-22 05:25:41","2018-02-05 00:58:47"
"Braz-2017-172000","48.4","2018-01-03 22:46:19","2018-01-21 10:57:26"
"Braz-2017-172001","48.4","2017-12-26 05:53:34","2018-01-11 05:40:55"
"Braz-2018-112696","48.4","2018-11-29 06:40:36","2018-12-06 10:51:09"
"Braz-2018-171994","48.4","2018-11-30 06:00:12","2018-12-22 11:19:43"
"112692","48.4","2012-01-03 17:34:38","2012-01-03 17:34:38"
