"meta_source","dataset_identifier","data_owner","contact_email","file_name","individual_id","device_id","device_type","year","month","day","time","time_zone","deployment_site","deployment_decimal_latitude","deployment_decimal_longitude","sex","how_sexed","age_class","genotyped","age.","progesterone","If.yes..status","comments"
"track","AMMC",NA,NA,NA,"154860","154860","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154871","154871","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154870","154870","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154869","154869","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154872","154872","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154853","154853","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154874","154874","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154873","154873","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154868","154868","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154859","154859","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154862","154862","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154867","154867","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154849","154849","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154852","154852","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154876","154876","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"131181","131181","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"113215","113215","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154877","154877","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154875","154875","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"154848","154848","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"113224","113224","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"112693","112693","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"113218","113218","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"131140","131140","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"113220","113220","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","AMMC",NA,NA,NA,"112724","112724","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"88727","88727","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"102211","102211","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"102218","102218","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"111866","111866","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"111871","111871","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"112694","112694","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"112718","112718","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"112721","112721","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"112722","112722","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"112723","112723","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131172","131172","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131173","131173","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131175","131175","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
