"Authorising.Country","Vessel","Flag","Authorisation.Period","Area.s.","Target.Species","start_date","end_date"
"Chile","Antarctic Endeavour","Chile","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2017-12-01,2018-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2016-12-01,2017-11-30
"Chile","Antarctic Endeavour","Chile","04 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-04,2020-11-30
"Chile","Betanzos","Chile","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Chile","Betanzos","Chile","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-11-30
"Chile","Betanzos","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Chile","Betanzos","Chile","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"Chile","Betanzos","Chile","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Chile","Cabo de Hornos","Chile","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Chile","Cabo de Hornos","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Chile","Diego Ramirez","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"China","An Xing Hai","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Fu Rong Hai","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2019-12-01,2020-11-30
"China","Fu Rong Hai","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"China","Fu Rong Hai","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"China","Fu Rong Hai","China","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Fu Rong Hai","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"China","Fu Rong Hai","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"China","Fu Rong Hai","China","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2017-12-01,2018-11-30
"China","Fu Rong Hai","China","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2018-12-01,2019-11-30
"China","Fu Yuan Yu 9818","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2019-12-01,2020-11-30
"China","Kai Fu Hao","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Li","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Kai Li","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"China","Kai Li","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Shun","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Xin","China","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-11-30
"China","Kai Xin","China","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Kai Yu","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Kai Yu","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"China","Feolent","Ukraine","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Long Da","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"China","Long Da","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"China","Long Da","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Long Fa","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Long Fa","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2019-12-01,2020-11-30
"China","Long Teng","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
